Title,Channel Name,Release Date-Time,Views,Likes,No of Comments,url
Amit Saini Rohtakiya : ROADWAYS (Official Video) | Molina Sodhi | New Haryanvi Songs Haryanavi 2022,Kala Niketan,2022-03-27T03:30:01Z,934011,51211,8433,https://www.youtube.com/watch?v=-TaEXtIqdAw
PLAZZO (Full Song) KD Desi Rock | Pranjal Dahiya | New Haryanvi Songs Haryanavi 2022 | Nav Haryanvi,Nav Haryanvi,2022-03-28T04:30:06Z,3060162,120548,7414,https://www.youtube.com/watch?v=X49WwqR8320
B Praak : BEWAFAI KAR GAYA (Full Video) Jaani | Gurnam Bhullar | Tania | LEKH | Rel on 1 April,White Hill Music,2022-03-20T04:30:04Z,8743192,276558,12390,https://www.youtube.com/watch?v=uvsaIb1bNdc
Jhotte (Official Video) Ndee Kundu Ft. KD | MP Sega | New Haryanvi Songs Harayanvi 2022,White Hill Dhaakad,2022-03-22T15:17:50Z,3229437,149547,8864,https://www.youtube.com/watch?v=EuaiExBndv0
"Kuch Baatein Song | Payal Dev, Jubin Nautiyal | Kunaal Vermaa | Ashish Panda | Gurmeet C, Bhushan K",T-Series,2022-03-10T05:30:11Z,28303538,652928,19468,https://www.youtube.com/watch?v=3fpP2dM02tM
Ki Karde Je (Official Video) Nimrat Khaira | Arjan Dhillon | Latest Punjabi Song 2022| New Song 2022,Speed Records,2022-03-18T04:30:21Z,10734097,275199,5908,https://www.youtube.com/watch?v=7qadvPmF_ac
JAWANI - Arjan Dhillon (Full Video) Mxrci | Brown Studios | Gold Media | Latest Punjabi Songs 2022,Brown Studios,2022-03-25T04:34:28Z,4848484,144891,3531,https://www.youtube.com/watch?v=THOP4ThY-Jg
Tod Gayi ( Full Video ) Khan Saab & Garry Sandhu | Latest Punjabi Song | Fresh Media Records,Fresh Media Records,2022-03-27T04:23:35Z,6757789,162233,4324,https://www.youtube.com/watch?v=MQbAAnvHuLA
DaFa Kar Song: HEROPANTI 2 | Tiger S Tara S @A. R. Rahman Hiral V Mehboob Sajid N Bhushan K Ahmed K,T-Series,2022-03-26T07:30:09Z,17275511,311298,38013,https://www.youtube.com/watch?v=-4LPaKw8dts
Jalwanuma Song: HEROPANTI 2 |Tiger Tara@A. R. Rahman Pooja Javed A Mehboob Sajid N Bhushan K Ahmed K,T-Series,2022-04-01T05:30:12Z,10541774,91530,3474,https://www.youtube.com/watch?v=dT9xtHORT-c
"Saare Bolo Bewafa Song: Bachchhan Paandey | Akshay Kriti, B Praak Jaani | Sajid N Farhad S Bhushan K",T-Series,2022-03-07T05:40:00Z,66972409,797016,151187,https://www.youtube.com/watch?v=ZbCLNAIIOlg
Nahin Hona Tha | Pardes | Shah Rukh Khan | Mahima | Alka Yagnik | Udit Narayan| 90's Hit Songs,Tips Official,2022-03-30T04:30:00Z,716629,6602,155,https://www.youtube.com/watch?v=2rt8UxyAlpE
"SHAIDAYEE Song Sung By Terence Lewis | Jeniffer Piccinato, Saurabh Prajapati, Rahul Jain, Vandana K",T-Series,2022-03-26T05:30:13Z,5497340,107743,2207,https://www.youtube.com/watch?v=BfIgcU6abC0
Rakesh Mishra | मुझे नौलखा मँगा दे 2.0 |Shilpi Raj| Naulakha 2.0 | Shweta Mahara| New Bhojpuri Song,Saregama Hum Bhojpuri,2022-03-28T01:30:10Z,2208243,74513,2679,https://www.youtube.com/watch?v=dS2DJ38Sfws
Beliya (Official Video) Gurnam Bhullar | Tania | B Praak | Jaani | Jagdeep Sidhu | Rel 1 April,White Hill Music,2022-03-29T04:30:07Z,2796196,67337,1054,https://www.youtube.com/watch?v=kKAfQWsiHME
"Video: Tera Saath Ho Ft Guru Randhawa, Zahrah, Karan W | Tanishk, Shabbir A, Collin D'C | Bhushan K",T-Series,2022-03-24T05:30:12Z,17654068,399097,53298,https://www.youtube.com/watch?v=g7tyDX8YzAI
"Dil Se Utar Gaye - Paras Arora & Manmeet Kaur | Raj Barman, Anjjan B, Kumaar | Zee Music Originals",Zee Music Company,2022-03-29T09:30:04Z,3490869,57950,1083,https://www.youtube.com/watch?v=fiX-6OVQNXI
Mujhpe Chhod De (Official Video) Danish Alfaaz |  Saloni mittal | New Hindi Songs 2022,Desi Junction,2022-03-29T07:20:26Z,1725160,43514,2788,https://www.youtube.com/watch?v=gwcZ1L6ejX0
EMIWAY - MERA (OFFICIAL MUSIC VIDEO),Emiway Bantai,2022-03-24T18:30:11Z,2325547,241889,22404,https://www.youtube.com/watch?v=jUH-Gua5L5o
